Ingredient,Ccal,Fats,Proteins,Carbs
Желудок курицы сырой,108,4,"6,5","11,1"
Зразы рубленые из говядины,94,2,18,0
Индейка жареная,244,"15,7","12,1","13,1"
Индейка отварная,280,"20,7","23,4","0,1"
Индейка целиком сырая,273,"19,8","23,6",0
"Индейки 1 кат,",187,7,"28,9",0
"Индейки 2 кат,",276,22,"19,5",0
Кожа курицы сырая,194,12,"21,6",0
"Конина 1 кат,",450,"40,3","20,2",0
"Конина 2 кат,",167,"9,9","19,5",0
Консервы «Завтрак туриста» из баранины,121,"4,1","20,9",0
Консервы «Завтрак туриста» из говядины,210,"15,2",18,"0,2"
Консервы «Завтрак туриста» из свинины,217,"14,9","20,5","0,2"
Консервы «Паштет мясной» из говядины,347,31,"16,9","0,2"
Консервы «Паштет печеночный»,275,"23,3","16,1","0,4"
Консервы из бараньего гуляша,301,"28,1","11,6","3,4"
Консервы из говядины в белом соусе,213,"15,6","14,2","3,9"
Консервы из говяжьего гуляша,220,"14,8",18,"3,6"
Консервы из говяжьего языка в желе,212,"14,3","16,8","3,9"
Консервы из жирной свинины,212,"13,6","22,4","2,4"
Консервы из колбасного куриного фарша,486,"48,9","11,5",0
Консервы из курицы в собственном соку,200,"15,6",15,0
Консервы из особой ветчины,183,"9,9","23,2","0,4"
Консервы из отварной говядины в собственном соку,126,"6,2","17,6",0
Консервы из свиного гуляша,214,"16,9","15,4",0
Консервы из свиного сосисочного фарша,333,"29,4","13,1","3,9"
Консервы из тушеной баранины,244,"20,4","10,6","4,3"
Консервы из тушеной говядины,191,"13,4","17,4","0,2"
Консервы из тушеной свинины,220,17,"16,8","0,2"
Консервы из утки в собственном соку,349,"32,2","14,9","0,2"
Корейка свинины копчено-запеченная,223,"17,5",16,"0,3"
Корейка свинины сырокопченая,475,"48,2","10,2",0
Котлета свиная сырая,469,"47,4","10,5",0
Котлеты из индейки,238,"13,4","27,3",0
Котлеты куриные,220,"12,2","18,6","8,7"
Котлеты отбивные из баранины,222,"10,4","18,2","13,8"
Котлеты отбивные из свинины,394,"30,6","20,6","9,1"
Котлеты рубленые из баранины,470,"40,3","17,5","8,8"
Котлеты рубленые из говядины,240,"14,8","13,6","12,9"
Котлеты рубленые из мяса цыплят,213,"11,4","14,2",13
Котлеты рубленые из свинины,238,"13,6","15,2","13,5"
Красное мясо индейки сырое,466,"45,7","13,6",0
Кролик жареный,125,4,20,0
Кролик отварной,241,"12,7","31,5","0,1"
Кролик сырой,194,"10,4","25,5",0
Крыло индейки с кожей сырое,205,"8,4","30,2",0
Крыло курицы без кожи сырое,197,12,20,0
Крыло курицы с кожей сырое,201,"8,1","30,2",0
Куриная грудка без кожи,288,"19,3","26,6",0
Курица жареная,164,"3,5","30,8",0
Курица отварная,259,"15,3","28,6","0,1"
Курица тушеная с овощами,244,17,"22,6",0
Курица гриль,125,"7,1","5,5","9,6"
"Куры 1 кат,",237,0,"27,1","13,5"
"Куры 2 кат,",238,"18,4","18,2",0
Мозги говяжьи,159,"8,2","21,2",0
Мозги свиные,127,"8,6","11,7","0,8"
Мякоть говядины сырая,119,"8,6","10,5","0,8"
Мясо кролика,289,"19,6","26,2",0
Ножка индейки с кожей сырая,183,11,"21,2",0
Окорок бараний сырой,144,7,20,0
Окорок свинины тамбовский вареный,195,13,19,0
Окорок свиной сырой,288,"25,6","14,3",0
Окрошка мясная из говядины на кефире,263,21,17,0
Окрошка мясная из говядины со сметаной,39,"1,1","2,8","4,3"
Оладьи из говяжьей печени,52,"1,7","2,1","6,3"
"Оленина 1 кат,",230,"14,2","17,5","11,7"
Отбивная свиная сырая,155,"8,5","19,5",0
Паштет из говяжьей печени,250,"14,6","27,9",0
Пельмени жареные,177,"11,1","18,1",7
Пельмени отварные,303,"22,5",11,"14,1"
Печень говяжья,219,"13,9","9,9","13,5"
Печень говяжья жареная,127,"3,7","17,9","5,3"
Печень говяжья тушеная в соусе,208,"10,2","22,8","9,4"
Печень говяжья сырая,159,"9,2","13,5","8,6"
Печень курицы сырая,135,4,20,4
Печень свиная,116,5,17,0
Пирожки печеные с мясным фаршем и луком,109,"3,8","18,8","4,7"
Поджарка из баранины,245,"5,7","12,2","35,5"
Поджарка из говядины,409,"35,1","19,5","3,9"
Поджарка из свинины,237,"13,6","24,9",4
Поросенок жареный,524,"49,3","15,7","4,2"
Поросята,147,"4,5","26,4","0,2"
Почки говяжьи,109,3,"20,6",0
Почки говяжьи жареные в соусе,86,"2,8","15,2","1,9"
Почки говяжьи по-русски,122,"6,1","13,6","4,8"
Почки говяжьи тушеные,96,"3,3","5,7","11,3"
Почки свиные,109,"5,5","11,1","5,3"
Рагу из баранины,92,"3,6",15,"2,7"
Рагу из индейки,152,"10,1","5,1","10,1"
Рагу из кролика,131,"7,9",6,"8,9"
Рагу из кур,123,"6,1","6,4","10,4"
Рагу из утки,131,8,6,"8,5"
Рагу из цыплят,186,"13,5","6,3","9,6"
Расстегаи с мясом и луком,125,"7,1","6,2","8,9"
Ребра свиные сырые,254,"6,4","12,1","36,4"
Ромштекс из говядины,282,24,16,0
Салат с курицей,237,"11,3","24,9","8,6"
Салат мясной говяжий,137,"9,9","5,7",6
Сало свиное сырое,219,"18,8","5,3","7,1"
Сардельки говяжьи отварные,812,89,3,0
Сардельки 1 сорта,215,"18,2","11,4","1,2"
Свинина жареная,202,"17,2","10,3","1,5"
Свинина отварная,314,"26,2","19,6",0
Свинина тушеная,373,"31,5","22,5",0
Свинина беконная,235,"20,4",9,"3,5"
Свинина жирная,318,"27,8",17,0
Свинина мясная,491,"49,3","11,7",0
Свиные сардельки,357,"33,3","14,3",0
Сердце говяжье,322,"31,6","10,1","1,8"
Сердце курицы сырое,96,"3,5",16,2
Сердце свиное,153,9,16,1
Солянка сборная мясная с говядиной,101,4,"16,2","2,6"
Сосиски говяжьи отварные,39,"2,8","2,1","1,3"
Спинка курицы с кожей сырая,225,20,"10,4","0,8"
Стейк из говядины сырой,298,"20,8","25,7",0
"Телятина 1 кат,",237,"13,2",28,0
"Телятина 2 кат,",97,2,"19,7",0
Тефтели из говядины,89,"0,9","20,4",0
Утка жареная,150,"9,1","7,4","9,6"
Утка отварная,407,"34,9","23,2","0,1"
Утка фаршированная картофелем,385,"34,6","18,1",0
"Утки 1 кат,",169,"10,9","7,1","10,5"
"Утки 2 кат,",405,38,"15,8",0
Фарш бараний сырой,287,"24,2","17,2",0
Фарш свиной сырой,282,23,17,0
Фрикадельки куриные,263,21,17,0
Цыплята жареные,163,"6,5","18,2","7,8"
Цыплята жареные табака,261,"18,3",24,"0,1"
Цыплята отварные,281,"20,2","24,8","0,1"
Шея куриная с кожей сырая,211,"13,6","21,1",0
Шницель рубленый из говядины,245,"17,9","19,4",0
Шницель из свинины отбивной,331,"24,9","17,5",9
Шницель из свинины рубленый,403,"32,2",19,"8,8"
Шницель отбивной из баранины,473,"42,5","13,5",9
Эскалоп из свинины,333,"23,2","21,8","9,1"
Язык говяжий,363,"32,3","18,1",0
Язык свиной,173,"12,1",16,"2,2"
«Боржоми»,208,16,"15,9","2,1"
«Ессентуки № 4»,0,0,0,0
«Нарзан»,0,0,0,0
Вина десертные,0,0,0,0
Вина крепкие,172,0,"0,5",20
Вина ликерные,163,0,"0,4",12
Вина полудесертные,212,0,"0,5",30
"Вина полусладкие белые и красные (в т, ч, шампанское)",140,0,"0,4",12
"Вина полусухие белые и красные (в т, ч, шампанское)",88,0,"0,2",5
"Вина сладкие белые и красные (в т, ч, шампанское)",78,0,"0,3","2,5"
"Вина сухие белые и красные (в т, ч, шампанское)",100,0,"0,2",8
Вино безалкогольное,64,0,"0,2","0,3"
"Вино белое ""Мускат""",6,0,0,1
"Вино белое ""Рислинг""",82,0,0,5
"Вино белое ""Савиньон""",80,0,0,4
"Вино красное ""Бургундское""",81,0,0,2
"Вино красное ""Каберне Савиньон""",86,0,0,4
"Вино красное ""Мерло""",83,0,0,3
"Вино красное ""Пино Нуар""",83,0,0,3
Виски,82,0,0,2
Вода,87,0,0,21
Водка,0,0,0,0
Зеленый чай,231,0,0,0
Какао без молока,1,0,0,"0,3"
Какао с заменителем сахара,55,1,1,12
Квас хлебный,29,0,1,6
Кисель из вишневого сока,27,0,"0,2","5,2"
Кисель из сливового варенья,78,0,"0,2","18,9"
Кисель из сушеных яблок,63,0,"0,1","15,5"
Кисель из клюквы,66,0,"0,1","16,3"
Кисель из кураги,53,0,0,13
Кисель из яблок,54,0,"0,4","12,9"
Коктейль персиковый,97,"0,1","0,1","23,7"
"Компoт из черешни, консервы",98,"1,9","1,7","18,5"
Компот из абрикосов,87,"0,2","0,5","20,6"
"Компот из абрикосов, консервы",56,0,"0,2","13,6"
Компот из крыжовника и черной смородины,89,0,"0,2","21,7"
"Компот из персиков, консервы",58,"0,1","0,3","13,9"
"Компот из яблок, консервы",88,0,"0,3","21,6"
Компот персиковый,93,"0,2","0,2","22,3"
Компот черешневый,88,0,"0,2","21,8"
Компот яблочный,58,"0,1","0,2",14
Компот вишневый,55,"0,1","0,1","13,6"
Компот грушевый,57,"0,1","0,2","13,8"
Компот из айвы,55,"0,1","0,1","13,4"
"Компот из айвы, консервы",56,"0,1","0,1","13,7"
"Компот из вишни, консервы",82,"0,3","0,4","19,7"
"Компот из груш, консервы",101,"0,3","0,6","23,7"
Коньяк ординарный «три звездочки»,74,"0,2","0,2","18,1"
Кофе жареный в зернах,239,0,0,"1,5"
Кофе на сгущенном молоке,331,"14,4","13,9","29,5"
Кофе на молоке,55,"0,9","0,7","10,9"
Кофе растворимый черный,58,1,"0,7","11,2"
Кофе со сливками и ликером,1,0,0,0
Кофе черный (без сахара),327,16,3,21
Кофе эспрессо,7,"0,5","0,2","0,2"
Кофе эспрессо без кофеина,2,0,0,0
Ликер вишневый,0,0,0,0
Наливка «Сливянка»,299,0,0,40
Напиток апельсиновый,215,0,0,28
Напиток клюквенный,53,0,"0,1",13
Напиток яблочный,51,0,"0,1","12,4"
Напиток Coca-cola классический,54,"0,1","0,1","13,2"
Напиток из плодов шиповника,44,0,0,12
Напиток на плодово-ягодных настоях,50,"0,1","0,2","11,9"
Напиток на цитрусовых настоях,46,0,0,"9,5"
"Напиток на эссенциях (Coca-Cola, Pepsi, «Байкал» и др,)",33,0,0,"7,5"
"Напиток яблочно­ морковный, консервы",38,0,0,"8,7"
"Напиток яблочно­абрикосовый, консервы",68,0,"0,3","15,5"
"Напиток яблочно­виноградный, консервы",58,0,"0,2",14
Настойка горькая «Русский сувенир»,52,0,"0,3","12,3"
Пиво светлое,248,0,0,"6,4"
"Пиво светлое, с долей сухих в-в в исходном сусле 11%",29,0,0,2
"Пиво светлое, с долей сухих в-в в исходном сусле 20%",42,0,"0,3","4,6"
Пиво темное,75,0,"0,4","7,6"
"Пиво темное, с долей сухих в-в в исходном сусле 13%",43,0,0,4
"Пиво темное, с долей сухих в-в в исходном сусле 20%",48,0,"0,3","5,7"
Сладкий вермут,74,0,"0,4","8,7"
Сок абрикосовый,160,0,"0,2","13,7"
Сок айвовый,55,0,"0,5","12,7"
Сок ананасовый,51,"0,1","0,5","11,2"
Сок ананасовый без сахара,52,"0,1","0,3","11,8"
Сок апельсиновый,53,0,0,13
Сок виноградный,60,"0,1","0,7","13,2"
Сок вишневый,70,"0,2","0,3","16,3"
Сок гранатовый,51,"0,2","0,7","11,4"
Сок грейпфрутовый,56,"0,1","0,3","14,2"
Сок грейпфрутовый белый без сахара,38,"0,1","0,3","7,9"
Сок грейпфрутовый белый с сахаром,39,0,0,9
Сок грейпфрутовый розовый без сахара,46,0,1,11
Сок из смеси овощей,39,0,0,9
Сок клюквенный без сахара,19,0,1,5
Сок лимонный,46,0,0,12
Сок лимонный без сахара,33,0,"0,6","3,9"
Сок мандариновый,25,0,0,9
Сок морковный,45,0,"0,8","9,8"
Сок персиковый,56,"0,1","1,1","12,6"
Сок свекольный,68,0,"0,3","16,5"
Сок сливовый,61,0,1,"14,1"
Сок томатный,68,"0,1","0,3","15,2"
Сок томатный с солью,18,"0,1",1,"2,9"
Сок черничный,17,0,1,4
Сок черноплодно­рябиновый,38,1,0,8
Сок черносмородиновый,50,"0,1","0,1","11,4"
Сок шиповниковый,41,0,"0,5","7,3"
Сок яблочный,67,"0,2","0,1","16,1"
Холодный чай Lipton с лимоном,46,"0,1","0,5","10,1"
Холодный чай Nestea с лимоном,35,0,0,9
Чай ромашковый,36,0,0,9
Чай с лимоном,1,0,0,0
Чай с молоком,28,0,"0,1","6,8"
Чай с сахаром,43,"0,8","0,7","8,2"
Чай травяной,28,0,"0,1",7
"Чай черный без сахара, лимона и молока",1,0,0,0
"Яблоки в сиропе, консервы",1,0,0,1
Авокадо,48,"0,1","0,2","11,5"
Базилик,160,15,2,9
Баклажаны,23,0,3,3
"Баклажаны, фаршированные овощами",24,"0,1","1,2","4,5"
Белокочанная капуста,83,"4,5","2,9","7,4"
Борщ,28,"0,1","1,8","4,7"
Борщ из свежей капусты и картофеля,29,1,"0,8","4,1"
Борщ летний,36,"1,1",1,"5,4"
Борщ с картофелем,38,"1,2","1,1","5,7"
Борщ украинский,42,"1,1","1,1","6,8"
Брокколи,50,"2,2","1,1","6,5"
Брокколи смесь Hortex,34,"0,4","2,8","6,6"
Брюква,23,"0,3","1,9","3,1"
Брюква припущенная,37,"0,1","1,2","7,7"
Брюссельская,54,"1,6","1,3","8,4"
Брюссельская капуста,35,"0,3","4,8","3,1"
Ватрушки картофельные,43,"0,3","3,4","8,9"
Вешенки,165,"7,6","6,2","17,7"
Голубцы овощные,43,0,3,6
Грибы белые,95,"5,2","2,2","9,7"
Грибы белые сушеные,34,"1,7","3,7","1,1"
Грибы жареные (сушеные),286,"14,3","30,3",9
Грибы жареные в сметанном соусе,270,"24,4","11,3","1,2"
Грибы жареные с картофелем,172,"14,5","6,7","3,5"
Грибы лисички,114,"5,2","3,9","12,7"
Грибы опята,19,1,"1,5",1
Грибы подберезовики,22,"1,2","2,2","0,5"
Грибы подосиновики,20,"0,8","2,1","1,2"
Грибы сыроежки,22,"0,5","3,3","1,2"
Грибы шампиньоны,19,"0,7","1,7","1,5"
"Грибы, запеченные в сметанном соусе",27,1,"4,3","0,1"
"Грибы, тушенные с картофелем",188,"16,6","6,5","3,2"
Драники картофельные,117,"6,4",4,"10,7"
Запеканка капустная,127,"4,5","2,7","18,6"
Запеканка из тыквы,114,"5,2","3,1","13,5"
Запеканка картофельная с овощами,137,"6,1","4,1","16,3"
Запеканка морковная,136,"5,9",3,"17,5"
Зразы картофельные,128,5,"2,7","17,8"
"Икра из баклажанов, консервы",152,"6,4","2,8","20,3"
"Икра из кабачков, консервы",148,"13,3","1,7","5,1"
Икра кабачковая,119,"8,9","1,9","7,7"
Икра свекольная,78,"4,7","1,2","7,7"
Имбирь свежий,119,"6,8","2,3","11,7"
Кабачки,80,1,2,18
Кабачки жареные,24,"0,3","0,6","4,6"
Кабачки запеченные,88,"5,9","1,1","7,5"
Кабачки припущенные,140,10,"2,7","9,7"
Капуста квашеная,130,"10,5","2,3","6,3"
Капуста жареная,23,"0,1","1,8",3
Капуста запеченная,50,"2,8","1,8","4,2"
Капуста цветная жареная,75,"3,3",2,"9,2"
Капуста цветная отварная,47,"3,1","1,7",3
Картофель,22,"0,2","1,7","3,4"
"Картофель, жаренный брусочками",317,"0,3","6,6","71,6"
"Картофель, жаренный ломтиками (из отварного)",192,"9,6","2,8","23,5"
"Картофель, тушенный с грибами",161,"8,6","2,3","18,6"
"Картофель, запеченный в сметанном соусе",228,"14,5","4,7","19,5"
Каша из тыквы,114,"5,3","2,5","13,8"
Китайская капуста,87,"1,7","2,1","15,7"
Кольраби,13,"0,2","1,5","2,2"
Котлеты капустные,44,"0,1","2,8","7,9"
Котлеты картофельные,153,"8,2","4,2","15,3"
Котлеты морковные,139,"6,9","2,8","16,2"
Котлеты свекольные,152,"6,7","3,4","19,2"
Краснокочанная,187,"8,1","4,1","24,1"
Краснокочанная капуста,26,"0,2","0,8","5,1"
Кресс-салат,31,"0,2","1,4","7,4"
Кукуруза сладкая,11,"0,1","2,3","1,3"
Латук,86,1,3,19
Лук жареный,14,"0,1","0,9",3
Лук зеленый (перо),251,"13,5","4,5","27,4"
Лук маринованный,20,"0,1","1,3","3,2"
Лук порей,79,"4,7","1,2","7,6"
Лук репка,36,"0,2",2,"6,3"
Луковичный флорентийский фенхель,41,"0,2","1,4","8,2"
Майоран сушеный,16,"0,2","0,7",3
Мангольд,271,7,13,61
Морковь,19,"0,2","1,8","3,7"
Морковь отварная,35,"0,1","1,3","6,9"
Морковь припущенная,33,"0,1","1,3","6,4"
Морковь тушеная с рисом,52,"1,6","1,4","7,7"
Морская капуста,122,5,"1,8","17,2"
Огурцы (грунтовые),5,"0,2","0,9",0
Огурцы (парниковые),14,"0,1","0,8","2,5"
Огурцы соленые,11,"0,1","0,7","1,9"
Окрошка овощная,13,"0,1","0,8","1,7"
Оладьи из тыквы,39,"0,8","0,9","6,8"
Пастернак (корень),158,7,4,"19,8"
Патиссон,47,"0,5","1,4","9,2"
Патиссон,34,"0,1","0,9","8,6"
Перец сладкий,16,0,1,3
"Перец, фаршированный овощами",26,"0,1","1,3","4,9"
Петрушка,100,"5,9","1,5","10,1"
Петрушка (корень),49,"0,4","3,7","7,6"
Печеное таро,51,"0,6","1,5","10,1"
Пирожки картофельные с морковью,144,"0,3","1,9","34,1"
Помидоры,124,"4,2","2,4","18,9"
"Помидоры без кожицы, консервы",20,0,"0,6","4,2"
Помидоры жареные,12,0,"0,5","2,3"
"Помидоры с кожицей, консервы",73,"4,7","1,8","5,1"
"Помидоры, фаршированные с рисом и морковью",20,"0,1","1,1","3,5"
"Помидоры, фаршированные яйцом и луком",91,"4,9",2,"9,3"
Портобелло,83,"6,2","2,9","3,5"
Пудинг из тыквы,26,0,3,5
Пудинг морковный,92,"3,2",3,"12,3"
Пюре из моркови,106,"4,1",3,14
Пюре из тыквы,90,"5,6","1,9","8,1"
Пюре картофельное,88,"6,2","1,7","6,3"
Рагу овощное,75,"0,8","2,1","14,7"
Рассольник домашний,91,"4,5","1,9","10,6"
Ревень,36,1,1,"5,8"
Редис,16,"0,1","0,7","2,5"
Редька с маслом,20,"0,1","1,2","3,4"
Редька черная,96,7,"1,7","6,4"
Репа,36,"0,2","1,9","6,7"
Репа припущенная,32,"0,1","1,5","6,2"
Салат,45,"1,5","1,6","6,3"
Свекла,71,"3,2","1,7","8,6"
Свекла отварная,42,"0,1","1,5","8,8"
Свекла тушеная,48,"0,1","1,8","9,8"
"Свекла, тушенная с яблоками",75,3,"1,6","10,3"
Свекольник холодный,84,"3,9","1,3","10,7"
Сельдерей,30,"0,2","0,8","6,1"
Сельдерей (корень),13,"0,1","0,9","2,1"
Сельдерей (стебли),34,"0,3","1,3","6,5"
Соленая окра,42,0,1,9
Солянка грибная,29,"0,1","1,7","6,1"
Соус томатный острый,18,"1,2","0,5","1,3"
Спаржа,99,0,"2,5","21,2"
Суп картофельный,21,"0,1","1,9","3,1"
Суп картофельный с перловой крупой,45,"1,2","1,1","7,8"
Суп-пюре из шпината,37,"1,1",1,"6,5"
Суп-пюре из картофеля,42,2,"1,9",4
Суп-пюре из моркови,58,2,"1,6","8,3"
Суфле морковное,39,"1,8","1,2","4,5"
"Томатная паста, консервы",189,"12,9","6,5","11,3"
"Томатное пюре, консервы",102,0,"4,8",19
Томаты (грунтовые),66,0,"3,6","11,8"
Топинамбур,24,"0,2","1,1","3,8"
Турнепс,61,"0,1","2,1","12,8"
Тыква,28,0,1,6
Тыква жареная,22,"0,1",1,"4,4"
Тыква маринованная,86,"5,7","1,7","6,9"
Тыква отварная,42,"0,1","0,6","8,9"
Тыква припущенная,26,"0,1","1,2","4,9"
Укроп,40,"1,7","1,2","4,8"
Хрен,40,"0,5","2,5","6,3"
Цветная капуста,59,"0,4","3,2","10,5"
Цикорий,30,"0,3","2,5","4,2"
Цуккини,19,"0,3","1,4","3,8"
Чеснок,16,0,1,3
Шиитаке сушеные,149,"0,5","6,5","29,9"
Шницель из капусты,296,1,10,75
Шпинат,118,"6,4","3,4","11,6"
"Шпинат-пюре, консервы",23,"0,3","2,9",2
Щавель,16,"0,1",2,2
Щи из квашеной капусты,22,"0,3","1,5","2,9"
Щи из свежей капусты,19,1,"0,8","1,5"
Щи из щавеля,24,"1,1","0,9","2,5"
Щи суточные,48,"3,5","2,3","1,8"
Горчица столовая,19,1,"0,9","1,5"
Дрожжи прессованные,143,"5,3","9,9","12,7"
Желатин,109,"2,7","12,7","8,5"
Заправка для салата,355,"0,4","87,2","0,7"
Маринад овощной без томата,235,"23,3",0,"4,8"
Отруби пшеничные,134,"9,1","1,2","10,5"
Порошок горчичный,165,"3,8",16,"16,6"
Соус белый основной,378,"11,1","37,1","32,6"
Соус грибной,56,"4,1",1,"3,8"
Соус клюквенный,82,"6,2","1,2","4,8"
Соус красный основной,51,0,0,"12,6"
Соус луковый,48,2,"1,1","6,2"
Соус майонез со сметаной,75,"4,8","1,3","6,1"
Соус молочный,312,"31,9","2,8","3,3"
Соус польский,84,"5,2",2,"7,1"
Соус с хреном,78,"6,1","2,6",3
Соус сметанный,27,"0,1","0,7","4,2"
Соус томатный,78,"5,2","1,9","5,7"
Соус черносмородиновый,80,"4,5","1,7","7,8"
Балык осетровый холодного копчения,275,"0,1","0,3","67,6"
Бутербод с соленой горбушей,194,"12,5","20,4",0
Бутерброд с килькой и яйцом,110,"2,7","6,7","14,8"
Бутерброд с сельдью,151,"6,9","7,1","15,2"
Бутерброд с зернистой икрой кеты,144,"6,7","5,8","15,1"
Бутерброд с икрой осетровой зернистой,117,"3,9","5,5",15
Вобла,112,"3,5","5,2",15
Вобла холодного копчения,95,"2,8",18,0
Галки из трески,181,"6,3","31,1",0
Горбуша,87,"1,1",12,"7,3"
"Горбуша в томатном соусе, консервы",140,"6,5","20,5",0
"Горбуша натуральная, консервы",130,6,15,"4,1"
Горбуша отварная,136,"5,8","20,9",0
Каракатица свежая,254,"21,8","14,4",0
Карась,79,1,16,1
Карп,87,"1,8","17,7",0
Карп жареный,112,"5,3",16,0
Кета,181,"10,5","18,5","3,2"
"Кета натуральная, консервы",127,"5,6",19,0
Кета соленая,129,"4,8","21,5",0
Кефаль свежая,184,"9,6","24,3",0
Креветки свежие,87,"1,2","18,3","0,8"
Лещ,106,2,20,1
Масляная рыба свежая,205,14,19,0
Мидии,146,8,17,0
Минтай,77,2,"11,5","3,3"
Навага,89,0,20,0
Навага жареная,91,"1,6","19,2",0
Нерка красная,169,"8,3","18,3","4,8"
"Нерка натуральная, консервы",157,"8,4","20,3",0
Окунь речной,109,"3,5","19,5",0
Осетр свежий,179,"11,9","17,8",0
Осьминог свежий,105,4,16,0
Палтус белокорый,82,1,15,2
Путассу,73,"0,5","17,2",0
Раки речные,90,"0,7","20,5","0,3"
Раки речные вареные,76,1,"15,5","1,2"
Сазан,97,"1,3","20,3",1
Салака,178,2,38,0
Салака горячего копчения,125,"6,3",17,0
Сельдь рубленая,145,"8,5",17,0
Семга свежая,191,15,14,0
Семга соленая потрошенная с головой,208,13,20,0
Сибасс свежий,202,"12,5","22,5",0
Сиг свежий,97,2,18,0
Скумбрия атлантическая,134,6,19,0
"Скумбрия в масле, консервы",150,"6,4","23,4",0
Солянка рыбная,318,"28,9","14,4",0
Сом,25,"1,2","2,4","1,2"
"Сом в томатном соусе, консервы",115,"5,1","17,2",0
Теша осетровая холодного копчения,144,6,"13,7","8,7"
Тиляпия свежая,302,"25,7","17,6",0
Треска,96,2,20,0
Тунец,101,"5,1","9,7","3,9"
Угорь,144,5,23,0
Форель морская свежая,264,"11,8",37,0
Хек,95,"1,9","11,8","7,6"
Хек припущенный,86,"2,2","16,6",0
Чавыча,91,"2,4","17,8",0
Айва,242,"0,4",5,53
Алыча,48,"0,5","0,6","9,6"
Ананас,34,"0,1","0,2","7,9"
Апельсин,255,"0,6","2,8","66,9"
Апельсин с сахаром,43,"0,2","0,9","8,1"
Банан,122,"0,2","0,7","28,7"
Вишня,265,"0,3","0,4","68,2"
Вишня с сахаром,52,"0,2","0,8","10,6"
Гранат,97,"0,4","0,7","21,7"
Грейпфрут,72,"0,6","0,7","14,5"
Грейпфрут с сахаром,35,"0,2","0,7","6,5"
Груша,120,"0,2","0,5","28,1"
Груша сушеная,47,"0,3","0,4","10,3"
Джем из абрикосов,270,"0,6","2,3","62,6"
Джем мандариновый,276,0,"0,5","71,6"
Изюм,276,0,"0,3","71,8"
Инжир,299,0,3,79
Инжир сушеный,54,"0,2","0,7",12
Лимон,30,0,1,11
Лимон с сахаром,34,"0,1","0,9",3
Манго,169,"0,1","0,6","38,7"
Мандарин,73,1,0,18
Нектарины,38,"0,2","0,8","7,5"
Папайя,63,0,2,15
Персик,39,0,1,10
Персик сушеный,45,"0,1","0,9","9,5"
Повидло яблочное,254,"0,4",3,"57,7"
Помело,250,0,"0,4",65
Пюре яблочное,33,0,1,8
Арбуз,253,"0,1","2,2",59
Брусника,27,"0,1","0,6","5,8"
Варенье из клубники,46,"0,5","0,7","8,2"
Варенье из малины,285,"0,1","0,3",74
Виноград,273,"0,2","0,6","70,4"
Голубика,281,"0,5","2,3","65,8"
Дыня,284,"0,1","0,6","72,9"
Ежевика,35,"0,3","0,6","7,4"
Земляника (садовая),34,"0,5","1,5","4,4"
Клубника,41,"0,4","0,8","7,5"
Клюква,32,"0,3","0,7","7,7"
Крыжовник,28,"0,2","0,5","3,7"
Малина,45,"0,2","0,7","9,1"
Малина с молоком,46,"0,5","0,8","8,3"
Морошка,76,"1,8","1,8","12,7"
Облепиха,40,"0,9","0,8","7,4"
Смородина белая,82,"5,4","1,2","5,7"
Смородина красная,42,"0,2","0,5",8
Смородина черная,43,"0,2","0,6","7,7"
Суп-пюре из малины,44,"0,4",1,"7,3"
Тыква,48,"0,1","0,2","11,2"
Черника,23,"0,1",1,"4,4"
Шиповник,44,"0,6","1,1","7,6"
Белок,284,"1,4","3,4","48,3"
Белок сухой,48,0,"11,1",1
Желток,350,"1,8","82,4","1,2"
Омлет из яичного порошка,157,"11,5","12,7","0,7"
Перепелиное яйцо целое,200,17,"10,3","1,6"
Салат яичный,168,"13,1","11,9","0,6"
Яичница глазунья,213,"18,8","7,6","3,1"
Яичный порошок,243,"20,9","12,9","0,9"
Яйцо отварное,542,"37,3",46,"4,5"
Яйцо под майонезом,157,"11,5","12,7","0,7"
Яйцо целое,256,"24,5","4,1","4,7"
